filename,batch_idx,image_idx,has_tumor_pred,tumor_pixels,num_clusters,resolution_w,resolution_h,resolution_area
1754216091.8059795.png,0,0,True,435,18,400,426,170400
1754216092.1695008.png,0,1,True,747,25,400,426,170400
1754216092.488791.png,0,2,True,282,2,400,489,195600
1754216092.7925289.png,0,3,True,654,8,400,426,170400
1754216093.1215596.png,0,4,True,888,22,400,864,345600
1754216093.4388828.png,0,5,True,348,4,400,489,195600
1754216093.728552.png,0,6,True,128,2,400,489,195600
1754216094.1750298.png,0,7,True,808,11,400,928,371200
1754216094.5090213.png,1,0,True,150,3,400,426,170400
1754216094.806109.png,1,1,True,352,12,400,802,320800
1754216095.113816.png,1,2,True,164,2,400,426,170400
1754216095.4120178.png,1,3,True,363,5,400,489,195600
1754216095.728943.png,1,4,True,822,11,400,489,195600
1754216096.0179722.png,1,5,True,276,2,400,426,170400
1754216096.2910814.png,1,6,True,313,6,400,489,195600
1754216096.6133964.png,1,7,True,590,11,400,487,194800
1754216096.9026687.png,2,0,True,354,11,400,552,220800
1754216097.210634.png,2,1,True,290,3,400,426,170400
1754216097.5154495.png,2,2,True,673,4,400,489,195600
1754216097.8820763.png,2,3,True,462,5,400,489,195600
1754216098.213094.png,2,4,True,367,5,400,426,170400
1754216098.5192983.png,2,5,True,1693,8,400,489,195600
1754216098.8548949.png,2,6,True,140,7,400,489,195600
1754216099.303503.png,2,7,True,1358,4,400,489,195600
1754216099.5803797.png,3,0,True,127,8,400,489,195600
1754216099.8849165.png,3,1,True,1211,32,400,489,195600
1754216100.2368262.png,3,2,True,414,6,400,489,195600
1754216100.558894.png,3,3,True,3302,29,400,426,170400
1754216100.8478172.png,3,4,True,172,4,400,489,195600
1754216101.1607928.png,3,5,True,226,5,400,489,195600
1754216101.5125885.png,3,6,True,82,2,400,946,378400
1754216101.854494.png,3,7,True,541,4,400,426,170400
1754216102.168902.png,4,0,True,813,9,400,426,170400
1754216102.4609127.png,4,1,True,157,4,400,826,330400
1754216102.7758765.png,4,2,True,1184,8,400,489,195600
1754216103.0992994.png,4,3,True,2095,22,400,489,195600
1754216103.3991592.png,4,4,True,1051,2,400,426,170400
1754216103.6957111.png,4,5,True,542,17,400,426,170400
1754216103.993509.png,4,6,True,408,22,400,865,346000
1754216104.3353715.png,4,7,True,553,15,400,426,170400
1754216104.6217284.png,5,0,True,419,9,400,502,200800
1754216104.9709613.png,5,1,True,1129,13,400,489,195600
1754216105.2806544.png,5,2,True,96,7,400,489,195600
1754216105.6244743.png,5,3,True,1036,7,400,489,195600
1754216105.915476.png,5,4,True,622,13,400,426,170400
1754216106.2277293.png,5,5,True,320,8,400,489,195600
1754216106.546016.png,5,6,True,415,14,400,489,195600
1754216106.939181.png,5,7,True,1582,13,400,489,195600
1754216107.2625558.png,6,0,True,125,7,400,466,186400
